"row_id","uid","num_taxa","num_trees","tree_depth","num_reps","alisim_gene_models","alisim_gene_tree_length","total_alignment_length","sequence_type","LM_num_resolved_quartets","LM_num_partly_resolved_quartets","LM_num_unresolved_quartets","LM_total_num_quartets","LM_proportion_resolved_quartets","sCF_mean","sCF_median","sCF_min","sCF_max","NetworkTreelikenessTest","mean_delta_plot_value","mean_Q_residual","mean_TIGER_value","Cunningham_test","tree_proportion","input_alignment_path"
28710,"exp1_00020_0020_010_1",20,20,1,10,"JC",NA,10000,"DNA",492,8,0,500,0.984,38.41,38.47,35.75,42.78,"Treelike",0.489490662148829,0.00492635,1,0.973422406967099,0.518204941133871,"/mnt/data/dayhoff/home/u5348329/treelikeness_metrics/exp_1/exp1_00020_0020_010_1/exp1_00020_0020_010_1_output_alignment.fa"
28711,"exp1_00020_0020_011_1",20,20,1,11,"JC",NA,10000,"DNA",496,4,0,500,0.992,37.78,36.79,32.46,43.96,"Treelike",0.503067448362886,0.00526865,1,0.968223183297937,0.525638331439894,"/mnt/data/dayhoff/home/u5348329/treelikeness_metrics/exp_1/exp1_00020_0020_011_1/exp1_00020_0020_011_1_output_alignment.fa"
28712,"exp1_00020_0020_012_1",20,20,1,12,"JC",NA,10000,"DNA",493,7,0,500,0.986,38.89,39.58,32.47,45.15,"Treelike",0.470311633104765,0.0047858,1,0.972963933725009,0.615632583891072,"/mnt/data/dayhoff/home/u5348329/treelikeness_metrics/exp_1/exp1_00020_0020_012_1/exp1_00020_0020_012_1_output_alignment.fa"
28713,"exp1_00020_0020_013_1",20,20,1,13,"JC",NA,10000,"DNA",493,7,0,500,0.986,38.55,37.8,34.14,50.24,"Treelike",0.486633579691758,0.00472105,1,0.967636662896978,0.589191247545785,"/mnt/data/dayhoff/home/u5348329/treelikeness_metrics/exp_1/exp1_00020_0020_013_1/exp1_00020_0020_013_1_output_alignment.fa"
28714,"exp1_00020_0020_014_1",20,20,1,14,"JC",NA,10000,"DNA",491,9,0,500,0.982,40.48,38.73,33.55,51.3,"Non-treelike",0.47508660607631,0.00536545,1,0.975435486818514,0.623774255487786,"/mnt/data/dayhoff/home/u5348329/treelikeness_metrics/exp_1/exp1_00020_0020_014_1/exp1_00020_0020_014_1_output_alignment.fa"
28715,"exp1_00020_0020_015_1",20,20,1,15,"JC",NA,10000,"DNA",492,8,0,500,0.984,37.64,37.27,32.75,42.89,"Non-treelike",0.494821921276406,0.00492905,1,0.969870772979738,0.49081236400208,"/mnt/data/dayhoff/home/u5348329/treelikeness_metrics/exp_1/exp1_00020_0020_015_1/exp1_00020_0020_015_1_output_alignment.fa"
28716,"exp1_00020_0020_016_1",20,20,1,16,"JC",NA,10000,"DNA",493,7,0,500,0.986,39.38,38.62,35.23,46.33,"Treelike",0.489279881950928,0.00442205,1,0.973017313963114,0.574521514210009,"/mnt/data/dayhoff/home/u5348329/treelikeness_metrics/exp_1/exp1_00020_0020_016_1/exp1_00020_0020_016_1_output_alignment.fa"
28717,"exp1_00020_0020_017_1",20,20,1,17,"JC",NA,10000,"DNA",487,13,0,500,0.974,38.07,37.77,30.58,46.63,"Treelike",0.495547832440714,0.00505595,1,0.972699375034547,0.557803150327968,"/mnt/data/dayhoff/home/u5348329/treelikeness_metrics/exp_1/exp1_00020_0020_017_1/exp1_00020_0020_017_1_output_alignment.fa"
28718,"exp1_00020_0020_018_1",20,20,1,18,"JC",NA,10000,"DNA",491,8,1,500,0.982,38.32,37.34,32.11,45.5,"Treelike",0.477685209878199,0.00495355,1,0.971519789317438,0.512448244010712,"/mnt/data/dayhoff/home/u5348329/treelikeness_metrics/exp_1/exp1_00020_0020_018_1/exp1_00020_0020_018_1_output_alignment.fa"
1436,"exp1_00020_0020_019_1",20,20,1,19,"JC",NA,10000,"DNA",495,5,0,500,0.99,39.25,38.13,33.81,48.19,"Treelike",0.475300184519691,0.00450915,1,0.971821421869417,0.580406937600305,"/mnt/data/dayhoff/home/u5348329/treelikeness_metrics/exp_1/exp1_00020_0020_019_1/exp1_00020_0020_019_1_output_alignment.fa"
28720,"exp1_00020_0020_020_1",20,20,1,20,"JC",NA,10000,"DNA",489,11,0,500,0.978,38.98,38.64,32.53,46.85,"Treelike",0.500172104394023,0.00493105,1,0.971371365257626,0.56522873839188,"/mnt/data/dayhoff/home/u5348329/treelikeness_metrics/exp_1/exp1_00020_0020_020_1/exp1_00020_0020_020_1_output_alignment.fa"
28801,"exp1_00020_0050_001_1",50,20,1,1,"JC",NA,10000,"DNA",1226,24,0,1250,0.9808,40.17,39.3,30.43,53.21,"Non-treelike",0.476760934021425,0.00373382,1,0.958701109861703,0.54736034021557,"/mnt/data/dayhoff/home/u5348329/treelikeness_metrics/exp_1/exp1_00020_0050_001_1/exp1_00020_0050_001_1_output_alignment.fa"
28802,"exp1_00020_0050_002_1",50,20,1,2,"JC",NA,10000,"DNA",1216,34,0,1250,0.9728,40.4,40.25,30.64,51.87,"Treelike",0.480311991952054,0.00423536,1,0.952976618277501,0.499344701698537,"/mnt/data/dayhoff/home/u5348329/treelikeness_metrics/exp_1/exp1_00020_0050_002_1/exp1_00020_0050_002_1_output_alignment.fa"
28803,"exp1_00020_0050_003_1",50,20,1,3,"JC",NA,10000,"DNA",1222,27,1,1250,0.9776,40.4,38.53,29.31,54.75,"Treelike",0.479036355547993,0.003599,1,0.961229878123811,0.548712958558256,"/mnt/data/dayhoff/home/u5348329/treelikeness_metrics/exp_1/exp1_00020_0050_003_1/exp1_00020_0050_003_1_output_alignment.fa"
28804,"exp1_00020_0050_004_1",50,20,1,4,"JC",NA,10000,"DNA",1229,19,2,1250,0.9832,40.39,39.16,31.83,53.02,"Treelike",0.479099635377567,0.00380732,1,0.958551322148273,0.582124622847613,"/mnt/data/dayhoff/home/u5348329/treelikeness_metrics/exp_1/exp1_00020_0050_004_1/exp1_00020_0050_004_1_output_alignment.fa"
28805,"exp1_00020_0050_005_1",50,20,1,5,"JC",NA,10000,"DNA",1229,21,0,1250,0.9832,40.46,39.08,31.19,56.18,"Treelike",0.482037069332414,0.00397114,1,0.960326151828311,0.590776562599584,"/mnt/data/dayhoff/home/u5348329/treelikeness_metrics/exp_1/exp1_00020_0050_005_1/exp1_00020_0050_005_1_output_alignment.fa"
28806,"exp1_00020_0050_006_1",50,20,1,6,"JC",NA,10000,"DNA",1235,14,1,1250,0.988,40.8,40.41,31.69,51.88,"Treelike",0.48016779867578,0.00396104,1,0.959620875842784,0.540960208480495,"/mnt/data/dayhoff/home/u5348329/treelikeness_metrics/exp_1/exp1_00020_0050_006_1/exp1_00020_0050_006_1_output_alignment.fa"
28807,"exp1_00020_0050_007_1",50,20,1,7,"JC",NA,10000,"DNA",1207,42,1,1250,0.9656,41,41.02,27.46,58.1,"Treelike",0.477225335200223,0.00369446,1,0.958243700342987,0.550291235918123,"/mnt/data/dayhoff/home/u5348329/treelikeness_metrics/exp_1/exp1_00020_0050_007_1/exp1_00020_0050_007_1_output_alignment.fa"
