"","unique_id","LM_num_resolved_quartets","LM_num_partly_resolved_quartets","LM_num_unresolved_quartets","LM_total_num_quartets","LM_proportion_resolved_quartets","sCF_mean","sCF_median","sCF_min","sCF_max","NetworkTreelikenessTest","mean_delta_plot_value","Cunningham_test","tree_proportion","input_alignment_path"
"33","WEA17_BS_rep_38",1737,43,120,1900,0.914210526315789,47.4,46.2,14.6,88.3,"Non-treelike",0.176826454348918,0.997668285663096,0.84275810386428,"/data/caitlin/treelikeness_metrics/empirical_treelikeness_output/WEA17_BS_rep_38/WEA17_BS_rep_38.fa"
"34","WEA17_BS_rep_39",1762,28,110,1900,0.927368421052632,47.52,46.5,14.6,88.3,"Non-treelike",0.171580785472864,0.99776010047532,0.864033542250173,"/data/caitlin/treelikeness_metrics/empirical_treelikeness_output/WEA17_BS_rep_39/WEA17_BS_rep_39.fa"
"35","WEA17_BS_rep_4",1771,45,84,1900,0.932105263157895,47.42,46.2,14.8,87.8,"Non-treelike",0.167880865492895,0.998391568078164,0.861128315257289,"/data/caitlin/treelikeness_metrics/empirical_treelikeness_output/WEA17_BS_rep_4/WEA17_BS_rep_4.fa"
"36","WEA17_BS_rep_40",1749,36,115,1900,0.920526315789474,47.53,47.1,15,88.1,"Treelike",0.165282322423453,0.998278745552209,0.837946117768431,"/data/caitlin/treelikeness_metrics/empirical_treelikeness_output/WEA17_BS_rep_40/WEA17_BS_rep_40.fa"
"37","WEA17_BS_rep_41",1749,39,112,1900,0.920526315789474,47.4,47.1,14.9,88.2,"Non-treelike",0.179112778892277,0.997482589633229,0.825367975541033,"/data/caitlin/treelikeness_metrics/empirical_treelikeness_output/WEA17_BS_rep_41/WEA17_BS_rep_41.fa"
"38","WEA17_BS_rep_42",1750,42,108,1900,0.921052631578947,47.53,46.9,15.4,88.3,"Treelike",0.175039425382334,0.997440816010597,0.858273698328311,"/data/caitlin/treelikeness_metrics/empirical_treelikeness_output/WEA17_BS_rep_42/WEA17_BS_rep_42.fa"
"39","WEA17_BS_rep_43",1752,33,115,1900,0.922105263157895,47.51,46.2,14.7,88,"Treelike",0.171201469285528,0.997816851950973,0.851811869729545,"/data/caitlin/treelikeness_metrics/empirical_treelikeness_output/WEA17_BS_rep_43/WEA17_BS_rep_43.fa"
"40","WEA17_BS_rep_44",1739,56,105,1900,0.915263157894737,47.56,47.1,14.8,88.3,"Treelike",0.17491410936068,0.998334871473975,0.85465126901729,"/data/caitlin/treelikeness_metrics/empirical_treelikeness_output/WEA17_BS_rep_44/WEA17_BS_rep_44.fa"
"41","WEA17_BS_rep_45",1732,45,123,1900,0.911578947368421,47.5,46.3,14.8,88.3,"Treelike",0.177773000680572,0.998035512007685,0.852112610429821,"/data/caitlin/treelikeness_metrics/empirical_treelikeness_output/WEA17_BS_rep_45/WEA17_BS_rep_45.fa"
"42","WEA17_BS_rep_46",1745,34,121,1900,0.918421052631579,47.51,46.9,14.7,88.7,"Treelike",0.17718320681429,0.99794433586861,0.858226211574012,"/data/caitlin/treelikeness_metrics/empirical_treelikeness_output/WEA17_BS_rep_46/WEA17_BS_rep_46.fa"
"43","WEA17_BS_rep_47",1766,27,107,1900,0.929473684210526,47.52,46.7,15.1,88.8,"Non-treelike",0.177255815070862,0.997359499840254,0.8412863601008,"/data/caitlin/treelikeness_metrics/empirical_treelikeness_output/WEA17_BS_rep_47/WEA17_BS_rep_47.fa"
"44","WEA17_BS_rep_48",1726,38,136,1900,0.908421052631579,47.38,46.5,15.2,88.5,"Non-treelike",0.173163258895257,0.99803462920365,0.85527506551365,"/data/caitlin/treelikeness_metrics/empirical_treelikeness_output/WEA17_BS_rep_48/WEA17_BS_rep_48.fa"
"45","WEA17_BS_rep_49",1755,32,113,1900,0.923684210526316,47.39,46.2,14.6,88.6,"Treelike",0.182590729639006,0.99798517088515,0.858332493191682,"/data/caitlin/treelikeness_metrics/empirical_treelikeness_output/WEA17_BS_rep_49/WEA17_BS_rep_49.fa"
"46","WEA17_BS_rep_5",1752,48,100,1900,0.922105263157895,47.43,46.9,14.7,88.2,"Non-treelike",0.176764826230086,0.998033442078659,0.836077500363858,"/data/caitlin/treelikeness_metrics/empirical_treelikeness_output/WEA17_BS_rep_5/WEA17_BS_rep_5.fa"
"47","WEA17_BS_rep_50",1735,32,133,1900,0.913157894736842,47.36,46.6,14.8,87.9,"Non-treelike",0.177462718793221,0.997250994279289,0.848418069398596,"/data/caitlin/treelikeness_metrics/empirical_treelikeness_output/WEA17_BS_rep_50/WEA17_BS_rep_50.fa"
"48","WEA17_BS_rep_51",1751,34,115,1900,0.921578947368421,47.49,47.3,14.7,88.6,"Treelike",0.176027476726642,0.997872158178733,0.860012434499631,"/data/caitlin/treelikeness_metrics/empirical_treelikeness_output/WEA17_BS_rep_51/WEA17_BS_rep_51.fa"
"49","WEA17_BS_rep_52",1756,41,103,1900,0.924210526315789,47.49,46.2,17.1,88,"Non-treelike",0.167733027234113,0.998376331807296,0.854229955306194,"/data/caitlin/treelikeness_metrics/empirical_treelikeness_output/WEA17_BS_rep_52/WEA17_BS_rep_52.fa"
"50","WEA17_BS_rep_53",1763,40,97,1900,0.927894736842105,47.51,45.7,14.7,87.8,"Treelike",0.166615601731419,0.997948068917026,0.866675474332365,"/data/caitlin/treelikeness_metrics/empirical_treelikeness_output/WEA17_BS_rep_53/WEA17_BS_rep_53.fa"
"51","WEA17_BS_rep_54",1771,28,101,1900,0.932105263157895,47.71,47.2,16.1,88.4,"Treelike",0.177073400679448,0.997716604450659,0.83393385014194,"/data/caitlin/treelikeness_metrics/empirical_treelikeness_output/WEA17_BS_rep_54/WEA17_BS_rep_54.fa"
"52","WEA17_BS_rep_55",1762,35,103,1900,0.927368421052632,47.51,46.5,16.2,88.3,"Treelike",0.172998401674088,0.998159519547973,0.826873276940762,"/data/caitlin/treelikeness_metrics/empirical_treelikeness_output/WEA17_BS_rep_55/WEA17_BS_rep_55.fa"
"53","WEA17_BS_rep_56",1759,34,107,1900,0.92578947368421,47.52,47.4,15.1,88.8,"Non-treelike",0.183086573666084,0.998032712578509,0.849242005058794,"/data/caitlin/treelikeness_metrics/empirical_treelikeness_output/WEA17_BS_rep_56/WEA17_BS_rep_56.fa"
"54","WEA17_BS_rep_57",1766,41,93,1900,0.929473684210526,47.48,46.1,14.7,88.3,"Treelike",0.17435929395174,0.997927040716537,0.865580473445959,"/data/caitlin/treelikeness_metrics/empirical_treelikeness_output/WEA17_BS_rep_57/WEA17_BS_rep_57.fa"
"55","WEA17_BS_rep_58",1776,28,96,1900,0.934736842105263,47.45,46.8,15.3,88.6,"Non-treelike",0.177994393447474,0.997992122890974,0.854777145491488,"/data/caitlin/treelikeness_metrics/empirical_treelikeness_output/WEA17_BS_rep_58/WEA17_BS_rep_58.fa"
"56","WEA17_BS_rep_59",1736,32,132,1900,0.913684210526316,47.63,46.9,14.8,88.5,"Treelike",0.177107412496247,0.998185975253221,0.845738383448843,"/data/caitlin/treelikeness_metrics/empirical_treelikeness_output/WEA17_BS_rep_59/WEA17_BS_rep_59.fa"
