"row_id","uid","num_taxa","num_trees","tree_depth","recombination_value","recombination_type","num_reps","alisim_gene_models","alisim_gene_tree_length","total_alignment_length","sequence_type","LM_num_resolved_quartets","LM_num_partly_resolved_quartets","LM_num_unresolved_quartets","LM_total_num_quartets","LM_proportion_resolved_quartets","sCF_mean","sCF_median","sCF_min","sCF_max","NetworkTreelikenessTest","mean_delta_plot_value","mean_Q_residual","mean_TIGER_value","Cunningham_test","tree_proportion","input_alignment_path"
43,"exp2_00250_0010_003_1_0_Ancient",10,250,1,0,"Ancient",3,"JC",NA,250000,"DNA","250","0","0","250","1",42.61,44.42,36.75,48.72,"Non-treelike",0.0940845336818571,3.74e-05,"no_TIGER_run",0.999482104786031,0.935670010955989,"/data/caitlin/treelikeness_metrics/exp_2/exp2_00250_0010_003_1_0_Ancient/exp2_00250_0010_003_1_0_Ancient_output_alignment.fa"
44,"exp2_00250_0010_004_1_0_Ancient",10,250,1,0,"Ancient",4,"JC",NA,250000,"DNA","247","3","0","250","0.988",41.23,41.24,35.43,49.76,"Non-treelike",0.18152273187899,0.0004368,"no_TIGER_run",0.997643384472689,0.855389218612977,"/data/caitlin/treelikeness_metrics/exp_2/exp2_00250_0010_004_1_0_Ancient/exp2_00250_0010_004_1_0_Ancient_output_alignment.fa"
45,"exp2_00250_0010_005_1_0_Ancient",10,250,1,0,"Ancient",5,"JC",NA,250000,"DNA","247","3","0","250","0.988",44.5,43.49,35.53,54.98,"Treelike",0.0812097602190016,2.35e-05,"no_TIGER_run",0.999446252597274,0.973565196884265,"/data/caitlin/treelikeness_metrics/exp_2/exp2_00250_0010_005_1_0_Ancient/exp2_00250_0010_005_1_0_Ancient_output_alignment.fa"
46,"exp2_00250_0010_006_1_0_Ancient",10,250,1,0,"Ancient",6,"JC",NA,250000,"DNA","249","1","0","250","0.996",48.44,49.44,39.12,62.84,"Non-treelike",0.0434825579963369,2.54e-05,"no_TIGER_run",0.999568452741782,0.968290440805659,"/data/caitlin/treelikeness_metrics/exp_2/exp2_00250_0010_006_1_0_Ancient/exp2_00250_0010_006_1_0_Ancient_output_alignment.fa"
47,"exp2_00250_0010_007_1_0_Ancient",10,250,1,0,"Ancient",7,"JC",NA,250000,"DNA","249","1","0","250","0.996",39.79,38.14,35.79,44.53,"Treelike",0.173982796151855,0.0002567,"no_TIGER_run",0.997964776556735,0.906031383246987,"/data/caitlin/treelikeness_metrics/exp_2/exp2_00250_0010_007_1_0_Ancient/exp2_00250_0010_007_1_0_Ancient_output_alignment.fa"
48,"exp2_00250_0010_008_1_0_Ancient",10,250,1,0,"Ancient",8,"JC",NA,250000,"DNA","249","1","0","250","0.996",47.53,49.1,36.77,55.48,"Non-treelike",0.0493980671945487,3.33e-05,"no_TIGER_run",0.999701597513566,0.975740860371706,"/data/caitlin/treelikeness_metrics/exp_2/exp2_00250_0010_008_1_0_Ancient/exp2_00250_0010_008_1_0_Ancient_output_alignment.fa"
49,"exp2_00250_0010_009_1_0_Ancient",10,250,1,0,"Ancient",9,"JC",NA,250000,"DNA","238","0","12","250","0.952",41.49,38.81,33.31,54.84,"Non-treelike",0.13801002495917,4.04e-05,"no_TIGER_run",0.999232486586745,0.940107729517622,"/data/caitlin/treelikeness_metrics/exp_2/exp2_00250_0010_009_1_0_Ancient/exp2_00250_0010_009_1_0_Ancient_output_alignment.fa"
50,"exp2_00250_0010_010_1_0_Ancient",10,250,1,0,"Ancient",10,"JC",NA,250000,"DNA","249","1","0","250","0.996",39.48,38.74,34.67,46.64,"Non-treelike",0.244403216685631,0.0003746,"no_TIGER_run",0.997968247056311,0.851749815745344,"/data/caitlin/treelikeness_metrics/exp_2/exp2_00250_0010_010_1_0_Ancient/exp2_00250_0010_010_1_0_Ancient_output_alignment.fa"
51,"exp2_00250_0020_001_1_0_Ancient",20,250,1,0,"Ancient",1,"JC",NA,250000,"DNA","491","2","7","500","0.982",41.91,38.92,33.96,59.71,"Non-treelike",0.141738492049501,7.12e-05,"no_TIGER_run",0.996469999701637,0.892069068220028,"/data/caitlin/treelikeness_metrics/exp_2/exp2_00250_0020_001_1_0_Ancient/exp2_00250_0020_001_1_0_Ancient_output_alignment.fa"
52,"exp2_00250_0020_002_1_0_Ancient",20,250,1,0,"Ancient",2,"JC",NA,250000,"DNA","494","6","0","500","0.988",39.12,36.02,33.37,68.87,"Non-treelike",0.19473072282982,0.0002815,"no_TIGER_run",0.992997634006165,0.818665949872477,"/data/caitlin/treelikeness_metrics/exp_2/exp2_00250_0020_002_1_0_Ancient/exp2_00250_0020_002_1_0_Ancient_output_alignment.fa"
