"uid","tree_proportion"
"exp1_00025_0005_005_1e-04","0.5"
"exp1_00025_0005_006_1e-04","0.888888888888889"
"exp1_00025_0005_007_1e-04","0.75"
"exp1_00025_0005_008_1e-04","1"
"exp1_00025_0005_009_1e-04","0.5"
"exp1_00025_0005_010_1e-04","0.75"
"exp1_00025_0010_001_1e-04","0.555184697037576"
"exp1_00025_0010_002_1e-04","0.513846679166169"
"exp1_00025_0010_003_1e-04","0.503156550391733"
"exp1_00025_0010_004_1e-04","0.558879597801618"
"exp1_00025_0010_005_1e-04","0.833333333333333"
"exp1_00025_0010_006_1e-04","0.623222646633239"
"exp1_00025_0010_007_1e-04","0.666666666666667"
"exp1_00025_0010_008_1e-04","0.666666666666667"
"exp1_00025_0010_009_1e-04","0.5"
"exp1_00025_0010_010_1e-04","0.252125422115734"
"exp1_00025_0020_001_1e-04","0.681356869805342"
"exp1_00025_0020_002_1e-04","0.413060956853943"
"exp1_00025_0020_003_1e-04","0.571428571428572"
"exp1_00025_0020_004_1e-04","0.624030026184844"
"exp1_00025_0020_005_1e-04","0.669577575761865"
"exp1_00025_0020_006_1e-04","0.498264553007151"
"exp1_00025_0020_007_1e-04","0.512605741646736"
"exp1_00025_0020_008_1e-04","0.657836922628928"
"exp1_00025_0020_009_1e-04","0.631172180639673"
"exp1_00025_0020_010_1e-04","0.5"
"exp1_00025_0050_001_1e-04","0.676834979008091"
"exp1_00025_0050_002_1e-04","0.637746697289232"
"exp1_00025_0050_003_1e-04","0.570084609245806"
"exp1_00025_0050_004_1e-04","0.590047661568737"
"exp1_00025_0050_005_1e-04","0.586471016132154"
"exp1_00025_0050_006_1e-04","0.57437213483244"
"exp1_00025_0050_007_1e-04","0.60794879919361"
"exp1_00025_0050_008_1e-04","0.626949696653359"
"exp1_00025_0050_009_1e-04","0.64463024588207"
"exp1_00025_0050_010_1e-04","0.531242489353912"
"exp1_00025_0100_001_1e-04","0.588485677922234"
"exp1_00025_0100_002_1e-04","0.562932589675677"
"exp1_00025_0100_003_1e-04","0.642463456599286"
"exp1_00025_0100_004_1e-04","0.664893379248608"
"exp1_00025_0100_005_1e-04","0.693630958228098"
"exp1_00025_0100_006_1e-04","0.651127138933415"
"exp1_00025_0100_007_1e-04","0.717040427595412"
"exp1_00025_0100_008_1e-04","0.523253956541072"
"exp1_00025_0100_009_1e-04","0.64921542007741"
"exp1_00025_0100_010_1e-04","0.57118517050455"
"exp1_00040_0005_001_1e-04","0.75"
"exp1_00040_0005_002_1e-04","0.666666666666667"
"exp1_00040_0005_003_1e-04","0.5"
"exp1_00040_0005_004_1e-04","0.777777777777778"
"exp1_00040_0005_005_1e-04","1"
"exp1_00040_0005_006_1e-04","0.5"
"exp1_00040_0005_007_1e-04","1"
"exp1_00040_0005_008_1e-04","1"
"exp1_00040_0005_009_1e-04","0.666666666666667"
"exp1_00040_0005_010_1e-04","Only_trivial_splits_in_network_and_tree"
"exp1_00040_0010_001_1e-04","0.523121180212897"
"exp1_00040_0010_002_1e-04","0.571724951606214"
"exp1_00040_0010_003_1e-04","0.873330475985362"
"exp1_00040_0010_004_1e-04","0.666365956984196"
"exp1_00040_0010_005_1e-04","0.75"
"exp1_00040_0010_006_1e-04","0.648455630190398"
"exp1_00040_0010_007_1e-04","0.675933122275124"
"exp1_00040_0010_008_1e-04","0.5"
"exp1_00040_0010_009_1e-04","0.830111048941293"
"exp1_00040_0010_010_1e-04","0.831058857509664"
"exp1_00040_0020_001_1e-04","0.666666666666667"
"exp1_00040_0020_002_1e-04","0.5"
"exp1_00040_0020_003_1e-04","0.649205155411018"
"exp1_00040_0020_004_1e-04","0.552274122470533"
"exp1_00040_0020_005_1e-04","0.637580232089902"
"exp1_00040_0020_006_1e-04","0.576814347495866"
"exp1_00040_0020_007_1e-04","0.497891364942569"
"exp1_00040_0020_008_1e-04","0.673692196943341"
"exp1_00040_0020_009_1e-04","0.518843403509313"
"exp1_00040_0020_010_1e-04","0.570103740832068"
"exp1_00040_0050_001_1e-04","0.589006548677928"
"exp1_00040_0050_002_1e-04","0.709255257152017"
"exp1_00040_0050_003_1e-04","0.550886463448641"
"exp1_00040_0050_004_1e-04","0.662053471272467"
"exp1_00040_0050_005_1e-04","0.560593099749943"
"exp1_00040_0050_006_1e-04","0.621828317670348"
"exp1_00040_0050_007_1e-04","0.548888476898247"
"exp1_00040_0050_008_1e-04","0.62683902800453"
"exp1_00040_0050_009_1e-04","0.649684618325705"
"exp1_00040_0050_010_1e-04","0.546919747611883"
"exp1_00040_0100_001_1e-04","0.749018581495438"
"exp1_00040_0100_002_1e-04","0.593031246665624"
"exp1_00040_0100_003_1e-04","0.692706845845334"
"exp1_00040_0100_004_1e-04","0.659652496047204"
"exp1_00040_0100_005_1e-04","0.501089983331337"
"exp1_00040_0100_006_1e-04","0.578963403088295"
"exp1_00040_0100_007_1e-04","0.625816163251697"
"exp1_00040_0100_008_1e-04","0.688240308878428"
"exp1_00040_0100_009_1e-04","0.606783027895201"
"exp1_00040_0100_010_1e-04","0.593682984386613"
"exp1_00050_0005_001_1e-04","Only_trivial_splits_in_network_and_tree"
"exp1_00050_0005_002_1e-04","1"
"exp1_00050_0005_003_1e-04","Only_trivial_splits_in_network_and_tree"
"exp1_00050_0005_004_1e-04","0.5"
"exp1_00050_0005_005_1e-04","0.5"
"exp1_00050_0005_006_1e-04","Only_trivial_splits_in_network_and_tree"
"exp1_00050_0005_007_1e-04","0.5"
"exp1_00050_0005_008_1e-04","1"
"exp1_00050_0005_009_1e-04","0.6"
"exp1_00050_0005_010_1e-04","1"
"exp1_00050_0010_001_1e-04","0.75"
"exp1_00050_0010_002_1e-04","0.666666666666667"
"exp1_00050_0010_003_1e-04","0.533776598272601"
"exp1_00050_0010_004_1e-04","0.5"
"exp1_00050_0010_005_1e-04","1"
"exp1_00050_0010_006_1e-04","0.5"
"exp1_00050_0010_007_1e-04","Only_trivial_splits_in_network_and_tree"
"exp1_00050_0010_008_1e-04","1"
"exp1_00050_0010_009_1e-04","1"
"exp1_00050_0010_010_1e-04","0.644673566320717"
"exp1_00050_0020_001_1e-04","0.738535154808761"
"exp1_00050_0020_002_1e-04","0.593123038392558"
"exp1_00050_0020_003_1e-04","0.616154205579286"
"exp1_00050_0020_004_1e-04","0.49002666303579"
"exp1_00050_0020_005_1e-04","0.42086537328656"
"exp1_00050_0020_006_1e-04","0.581191364104185"
"exp1_00050_0020_007_1e-04","0.550248603679786"
"exp1_00050_0020_008_1e-04","0.514294147092909"
"exp1_00050_0020_009_1e-04","0.692270875627002"
"exp1_00050_0020_010_1e-04","0.8"
"exp1_00050_0050_001_1e-04","0.77088690498795"
"exp1_00050_0050_002_1e-04","0.52004003880763"
"exp1_00050_0050_003_1e-04","0.59677646743246"
"exp1_00050_0050_004_1e-04","0.777256785868887"
"exp1_00050_0050_005_1e-04","0.687508672203971"
"exp1_00050_0050_006_1e-04","0.52372640524855"
"exp1_00050_0050_007_1e-04","0.646364482581267"
"exp1_00050_0050_008_1e-04","0.72832512853842"
"exp1_00050_0050_009_1e-04","0.625"
"exp1_00050_0050_010_1e-04","0.820294988982505"
"exp1_00050_0100_001_1e-04","0.547295901013466"
"exp1_00050_0100_002_1e-04","0.680768124684319"
"exp1_00050_0100_003_1e-04","0.594598091520853"
